"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","05211","秋田県 潟上市","","31,720",""
"2020100000","2020年度","05212","秋田県 大仙市","","77,657",""
"2020100000","2020年度","05213","秋田県 北秋田市","","30,198",""
"2020100000","2020年度","05214","秋田県 にかほ市","","23,435",""
"2020100000","2020年度","05215","秋田県 仙北市","","24,610",""
"2020100000","2020年度","05303","秋田県 小坂町","","4,780",""
"2020100000","2020年度","05327","秋田県 上小阿仁村","","2,063",""
"2020100000","2020年度","05346","秋田県 藤里町","","2,896",""
"2020100000","2020年度","05348","秋田県 三種町","","15,254",""
"2020100000","2020年度","05349","秋田県 八峰町","","6,577",""
"2020100000","2020年度","05361","秋田県 五城目町","","8,538",""
"2020100000","2020年度","05363","秋田県 八郎潟町","","5,583",""
"2020100000","2020年度","05366","秋田県 井川町","","4,566",""
"2020100000","2020年度","05368","秋田県 大潟村","","3,011",""
"2020100000","2020年度","05434","秋田県 美郷町","","18,613",""
"2020100000","2020年度","05463","秋田県 羽後町","","13,825",""
"2020100000","2020年度","05464","秋田県 東成瀬村","","2,704",""
"2020100000","2020年度","06201","山形県 山形市","","247,590",""
"2020100000","2020年度","06202","山形県 米沢市","","81,252",""
"2020100000","2020年度","06203","山形県 鶴岡市","","122,347",""
"2020100000","2020年度","06204","山形県 酒田市","","100,273",""
"2020100000","2020年度","06205","山形県 新庄市","","34,432",""
"2020100000","2020年度","06206","山形県 寒河江市","","40,189",""
"2020100000","2020年度","06207","山形県 上山市","","29,110",""
"2020100000","2020年度","06208","山形県 村山市","","22,516",""
"2020100000","2020年度","06209","山形県 長井市","","26,543",""
"2020100000","2020年度","06210","山形県 天童市","","62,140",""
"2020100000","2020年度","06211","山形県 東根市","","47,682",""
"2020100000","2020年度","06212","山形県 尾花沢市","","14,971",""
"2020100000","2020年度","06213","山形県 南陽市","","30,420",""
"2020100000","2020年度","06301","山形県 山辺町","","13,725",""
